Subject ID,Left Choice,Right Choice,Side Correct,Side Picked,Correct,Distance,Response Time,Date/Time,Consecutive Rounds
99,61,85,right,right,yes,24,3.83549987,2015-06-28T13:09:07.880,1
99,97,89,left,left,yes,8,0.979521888,2015-06-28T13:09:09.852,2
99,7,66,right,right,yes,59,0.52975606,2015-06-28T13:09:11.384,3
99,98,87,left,left,yes,11,0.752821957,2015-06-28T13:09:13.138,4
99,86,35,left,left,yes,51,0.944998563,2015-06-28T13:09:15.086,5
99,82,87,right,right,yes,5,0.730809067,2015-06-28T13:09:16.818,6
99,75,1,left,left,yes,74,0.533626576,2015-06-28T13:09:18.354,7
99,29,76,right,left,no,47,0.568689575,2015-06-28T13:09:19.924,8
99,91,68,left,left,yes,23,0.709213119,2015-06-28T13:09:21.635,9
99,71,66,left,left,yes,5,0.618981051,2015-06-28T13:09:23.256,10
99,17,41,right,right,yes,24,0.594304,2015-06-28T13:09:24.853,11
99,96,84,left,left,yes,12,0.527771411,2015-06-28T13:09:26.384,12
99,18,75,right,right,yes,57,0.512681488,2015-06-28T13:09:27.897,13
99,69,74,right,right,yes,5,0.676339606,2015-06-28T13:09:29.576,14
99,14,45,right,right,yes,31,0.853183821,2015-06-28T13:09:31.431,15
99,98,28,left,left,yes,70,0.5412081,2015-06-28T13:09:32.974,16
99,95,39,left,left,yes,56,0.549035514,2015-06-28T13:09:34.526,17
99,7,22,right,right,yes,15,0.59196869,2015-06-28T13:09:36.120,18
99,19,45,right,right,yes,26,0.822933416,2015-06-28T13:09:37.944,19
99,94,72,left,left,yes,22,0.551361843,2015-06-28T13:09:39.497,20
99,49,60,right,right,yes,11,0.492591667,2015-06-28T13:09:40.992,21
99,52,96,right,left,no,44,0.444257901,2015-06-28T13:09:42.438,22
99,89,32,left,right,no,57,0.430314892,2015-06-28T13:09:43.871,23
99,12,24,right,right,yes,12,0.163459269,2015-06-28T13:09:45.035,24
99,91,64,left,left,yes,27,0.578357099,2015-06-28T13:09:46.616,25
99,10,81,right,right,yes,71,0.573921251,2015-06-28T13:09:48.192,26
99,28,77,right,right,yes,49,0.438399742,2015-06-28T13:09:49.633,27
99,48,43,left,left,yes,5,0.863702336,2015-06-28T13:09:51.498,28
99,53,17,left,left,yes,36,0.634286929,2015-06-28T13:09:53.134,29
99,79,2,left,left,yes,77,0.56401468,2015-06-28T13:09:54.701,30
99,44,96,right,right,yes,52,0.520183472,2015-06-28T13:09:56.222,31
99,93,27,left,left,yes,66,0.679138472,2015-06-28T13:09:57.904,32
99,17,29,right,right,yes,12,0.533374272,2015-06-28T13:09:59.438,33
99,2,17,right,right,yes,15,0.524065106,2015-06-28T13:10:00.964,34
99,36,34,left,left,yes,2,0.666746492,2015-06-28T13:10:02.631,35
99,75,14,left,left,yes,61,0.520512323,2015-06-28T13:10:04.153,36
99,85,81,left,left,yes,4,0.862449796,2015-06-28T13:10:06.016,37
99,32,57,right,right,yes,25,0.596076543,2015-06-28T13:10:07.615,38
99,47,10,left,left,yes,37,0.572816244,2015-06-28T13:10:09.190,39
99,25,47,right,right,yes,22,0.586559547,2015-06-28T13:10:10.778,40
